elements time
384130 4.719794
848045 11.280699
746375 9.344323
817848 10.641318
653562 8.432928
514437 6.827215
715728 9.062749
335712 3.774521
572040 6.986932
506974 7.295876
533664 6.377708
631810 8.746191
869166 11.171710
531744 6.338421
530830 8.026142
852630 11.511420
283728 3.165397
590150 7.262657
730170 9.165970
320574 3.680111
443802 5.252630
586960 7.236095
317254 3.736233
274758 3.211550
746496 9.125474
431640 5.462909
469942 6.671280
396942 4.754659
383042 4.819768
398574 4.814505
