elements time
4825 12.384763
4137 6.077489
9930 14.310534
4705 13.733733
5391 4.883097
7605 8.571680
4910 9.205106
4315 8.604199
3906 5.885880
3130 3.899132
4725 6.986308
6208 7.201024
3920 2.958906
9730 12.375403
3486 5.619216
4450 7.799845
6650 3.892380
4626 8.226048
7353 7.909881
3024 2.587030
3090 4.672913
6561 7.016128
7240 10.385613
8660 7.093728
2960 5.279621
4914 3.094970
3305 3.965755
5320 2.880779
3580 4.386706
5117 9.273237
