elements time
384130 7.886546
848045 16.188711
746375 12.821526
817848 13.720326
653562 10.950773
514437 10.342160
715728 12.956500
335712 6.388750
572040 10.401488
506974 10.861250
533664 8.393629
631810 11.704477
869166 13.771221
531744 9.321078
530830 9.725184
852630 13.251009
283728 5.236640
590150 9.043798
730170 11.471202
320574 6.035804
443802 7.815040
586960 10.318616
317254 5.992228
274758 6.046352
746496 10.842987
431640 9.227589
469942 8.508183
396942 7.366542
383042 6.733527
398574 8.189655
