elements time
384130 5.268706
848045 13.356999
746375 11.063700
817848 12.574006
653562 9.687128
514437 8.362326
715728 10.918548
335712 4.147189
572040 7.724056
506974 8.593875
533664 7.423707
631810 9.524886
869166 13.675664
531744 7.139799
530830 8.921386
852630 13.236238
283728 3.170953
590150 7.908408
730170 10.733043
320574 3.862080
443802 5.585491
586960 8.323714
317254 3.720757
274758 3.098220
746496 10.783660
431640 5.891849
469942 7.269826
396942 5.239520
383042 5.282021
398574 5.292545
