elements time
384130 5.719653
848045 15.117369
746375 12.193128
817848 13.377502
653562 9.869125
514437 8.486453
715728 11.516299
335712 3.997472
572040 8.101480
506974 9.373631
533664 7.797693
631810 9.516879
869166 13.898401
531744 7.202787
530830 9.322430
852630 13.761986
283728 3.165322
590150 8.072747
730170 10.773416
320574 3.760939
443802 5.529815
586960 8.393198
317254 3.638893
274758 3.038709
746496 11.177271
431640 5.928701
469942 7.481520
396942 5.551928
383042 5.182329
398574 5.105685
