elements time
384130 7.244315
848045 12.739464
746375 12.534150
817848 13.737917
653562 10.714359
514437 8.796030
715728 14.268615
335712 5.756458
572040 8.496154
506974 10.965495
533664 10.809761
631810 12.124807
869166 13.789162
531744 8.104523
530830 11.974781
852630 16.549246
283728 5.702865
590150 10.990972
730170 11.276970
320574 5.112986
443802 7.732185
586960 11.425379
317254 5.005188
274758 5.512345
746496 12.550194
431640 8.099215
469942 8.319694
396942 7.460962
383042 7.023291
398574 7.521650
