elements time
384130 13.099554
848045 17.934815
746375 23.538653
817848 20.976717
653562 15.609433
514437 14.284101
715728 22.298689
335712 10.447615
572040 16.931811
506974 17.311119
533664 14.985261
631810 17.947558
869166 26.353867
531744 15.806056
530830 17.876148
852630 25.579338
283728 10.701554
590150 17.386828
730170 18.181388
320574 9.710427
443802 12.325111
586960 20.185759
317254 10.344558
274758 10.631997
746496 25.435318
431640 15.506821
469942 14.340853
396942 14.956738
383042 10.957753
398574 14.504049
