elements time
384130 7.800036
848045 19.104532
746375 13.564555
817848 13.391965
653562 13.506643
514437 11.661290
715728 11.931590
335712 6.303808
572040 11.598590
506974 8.499559
533664 10.520667
631810 17.796914
869166 11.679439
531744 10.733128
530830 9.496000
852630 11.287852
283728 5.550505
590150 10.361142
730170 11.981096
320574 5.335291
443802 7.459756
586960 11.057000
317254 5.262841
274758 4.992031
746496 9.960760
431640 7.289391
469942 8.668497
396942 7.722595
383042 8.688867
398574 7.838067
