elements time
384130 10.732166
848045 30.192779
746375 25.177741
817848 29.890539
653562 20.401508
514437 20.352185
715728 25.883256
335712 7.893648
572040 17.258089
506974 20.155393
533664 16.822851
631810 20.589056
869166 34.292058
531744 16.509256
530830 19.164970
852630 31.397748
283728 6.762176
590150 16.730444
730170 25.260998
320574 7.648904
443802 11.014198
586960 19.783688
317254 6.666793
274758 5.301135
746496 27.256955
431640 13.285042
469942 17.200506
396942 10.758766
383042 11.587036
398574 10.494005
