elements time
384130 27.448883
848045 16.342698
746375 15.876460
817848 16.180276
653562 12.867184
514437 10.668052
715728 15.932169
335712 7.109591
572040 10.711868
506974 12.599084
533664 12.475901
631810 13.947969
869166 16.431289
531744 9.837651
530830 13.646704
852630 18.898112
283728 6.569979
590150 12.825131
730170 20.895900
320574 6.425134
443802 8.912285
586960 13.226465
317254 6.822745
274758 6.432304
746496 14.538505
431640 9.515058
469942 10.675829
396942 8.804101
383042 12.166703
398574 8.876123
