elements time
384130 4.714669
848045 12.119835
746375 10.390401
817848 11.550266
653562 8.989504
514437 8.002770
715728 10.442703
335712 3.918816
572040 7.696826
506974 8.544760
533664 7.215280
631810 9.222406
869166 13.025295
531744 6.797462
530830 8.630461
852630 12.645994
283728 3.182883
590150 7.937482
730170 10.336360
320574 3.678735
443802 5.366250
586960 8.159290
317254 3.611856
274758 3.029873
746496 9.829677
431640 5.467456
469942 6.805678
396942 4.715171
383042 4.749581
398574 4.683067
