elements time
384130 5.391268
848045 14.540061
746375 12.037007
817848 13.852609
653562 10.822821
514437 8.956770
715728 12.001828
335712 4.258678
572040 8.729501
506974 9.661576
533664 7.920267
631810 10.565078
869166 14.921306
531744 7.556582
530830 9.979272
852630 14.576596
283728 3.368448
590150 8.773751
730170 11.710694
320574 4.002138
443802 5.975435
586960 9.146598
317254 3.940317
274758 3.274130
746496 11.930525
431640 6.398281
469942 8.132389
396942 5.491966
383042 5.623539
398574 5.515390
