elements time
384130 14.349630
848045 19.607227
746375 24.177856
817848 23.438190
653562 17.634535
514437 15.193063
715728 22.389992
335712 10.455939
572040 17.517997
506974 16.614627
533664 16.082604
631810 17.454956
869166 27.910947
531744 16.046989
530830 18.354366
852630 25.973547
283728 10.251179
590150 18.447791
730170 17.083528
320574 9.751018
443802 13.532760
586960 20.127852
317254 9.598008
274758 9.084557
746496 24.070429
431640 13.275188
469942 13.533422
396942 14.840557
383042 11.634710
398574 14.654935
